Name,Website,Status,Program Category,Primary Location (City),Primary Location (Country),Description (SOSV),FA Code,Pre-Embed
RAWGA,rawga.com,Operating,IndieBio,Seongnam,South Korea,"RAWGA is a next-generation Bio-Deeptech company pioneering the future of anti-aging. 

Our story began from the ground, rooted in the essentials of food and nature. From those origins, we have built the full value chain—organic farming, proprietary ingredient technologies, in-house R&D, scalable production, and global consumer brands—turning nature’s potential into science-driven innovation. 

Through our expanding library of innovative anti-aging ingredients, RAWGA is creating a Bio-Deeptech platform that bridges beauty, healthcare, and medical applications. 

We are not just supplying raw materials—we are building a company that puts wellness and sustainability at its core, setting a new global standard for human health.",OPP25003,"RAWGA is based in Seongnam, South Korea. Description: RAWGA is a next-generation Bio-Deeptech company pioneering the future of anti-aging. 

Our story began from the ground, rooted in the essentials of food and nature. From those origins, we have built the full value chain—organic farming, proprietary ingredient technologies, in-house R&D, scalable production, and global consumer brands—turning nature’s potential into science-driven innovation. 

Through our expanding library of innovative anti-aging ingredients, RAWGA is creating a Bio-Deeptech platform that bridges beauty, healthcare, and medical applications. 

We are not just supplying raw materials—we are building a company that puts wellness and sustainability at its core, setting a new global standard for human health."
VISION IV,visioniv.co.jp,Operating,HAX,Tokyo,Japan,Our technology is specialized in producing high-quality diamond substrates that are the foundation for next-generation power semiconductors and sensors. At the core of our technology is our unique crystal growth technique using microwave chemical vapor deposition (MPCVD).,HAX250307,"VISION IV is based in Tokyo, Japan. Description: Our technology is specialized in producing high-quality diamond substrates that are the foundation for next-generation power semiconductors and sensors. At the core of our technology is our unique crystal growth technique using microwave chemical vapor deposition (MPCVD)."
Macheon,macheon.ai,Operating,HAX,San Francisco,United States,Developing an AI-enabled Surgical robotics system focusing on head and neck surgery,HAX241202,"Macheon is based in San Francisco, United States. Description: Developing an AI-enabled Surgical robotics system focusing on head and neck surgery"
Kfobix Inc.,kfobix.com,Operating,HAX Seed 2024,Berkeley,United States,"At Kfobix, our mission is to revolutionize the green energy landscape, making it more efficient and sustainable. In a world increasingly impacted by climate change, our mission is critical: to facilitate a seamless transition to renewable energy sources. We specialize in creating cutting-edge superhydrophobic coatings that prevent ice formation on electrical transmission lines and wind turbines. This not only enhances the reliability of green energy infrastructure but also ensures uninterrupted energy production and transmission.",HAX250304,"Kfobix Inc. is based in Berkeley, United States. Description: At Kfobix, our mission is to revolutionize the green energy landscape, making it more efficient and sustainable. In a world increasingly impacted by climate change, our mission is critical: to facilitate a seamless transition to renewable energy sources. We specialize in creating cutting-edge superhydrophobic coatings that prevent ice formation on electrical transmission lines and wind turbines. This not only enhances the reliability of green energy infrastructure but also ensures uninterrupted energy production and transmission."
InnSight Technology,innsightech.com,Operating,,Champaign,United States,Our company is dedicated to translational research initiatives that will advance diagnostics and evaluation of eye and systemic disease. Our primary focus is to provide an objective measurement of tear fluid biomarkers to standardize treatment solutions not only for dry eye but for systemic disease. We are an innovative tear fluid analytic company enabling detection of hard to diagnose diseases by collecting and analyzing tear fluid in a non-invasive way.,HAX250306,"InnSight Technology is based in Champaign, United States. Description: Our company is dedicated to translational research initiatives that will advance diagnostics and evaluation of eye and systemic disease. Our primary focus is to provide an objective measurement of tear fluid biomarkers to standardize treatment solutions not only for dry eye but for systemic disease. We are an innovative tear fluid analytic company enabling detection of hard to diagnose diseases by collecting and analyzing tear fluid in a non-invasive way."
Aurotect,aurotect.com,Operating,HAX,,United States,"We extract pure critical minerals and precious metals with an electrochemical system that burns ~zero chemicals, energy, or capital.",HAX250811,"Aurotect is based in , United States. Description: We extract pure critical minerals and precious metals with an electrochemical system that burns ~zero chemicals, energy, or capital."
Zetta Joule,zetta-joule.com,Operating,HAX,Rockville,United States,"Our aim: Transform the energy ecosystem to a clean and sustainable one by unlocking the potential of nuclear fission technology.

What we do: We integrate and consolidate the nuclear technology and supply-chain, and also build and own small nuclear power plants on-site.

Our products: Firm, clean zero-carbon power, process heat, hydrogen, hydrogen derivative products and other clean energies.",HAX250303,"Zetta Joule is based in Rockville, United States. Description: Our aim: Transform the energy ecosystem to a clean and sustainable one by unlocking the potential of nuclear fission technology.

What we do: We integrate and consolidate the nuclear technology and supply-chain, and also build and own small nuclear power plants on-site.

Our products: Firm, clean zero-carbon power, process heat, hydrogen, hydrogen derivative products and other clean energies."
Gynius,gynius.se,Operating,HAX,Stockholm,Sweden,"Gynius Plus AB is a Swedish medtech company pioneering accessible, high-quality solutions for women’s health. We develop portable diagnostic tools—such as the Gynocular® mobile colposcope and an open-platform HPV testing system—for cervical cancer screening in low-resource settings. We're also advancing new technologies for breast cancer detection, including portable ultrasound systems with 3D imaging capabilities.",HAX250408,"Gynius is based in Stockholm, Sweden. Description: Gynius Plus AB is a Swedish medtech company pioneering accessible, high-quality solutions for women’s health. We develop portable diagnostic tools—such as the Gynocular® mobile colposcope and an open-platform HPV testing system—for cervical cancer screening in low-resource settings. We're also advancing new technologies for breast cancer detection, including portable ultrasound systems with 3D imaging capabilities."
Tessellate2d,tessellate2d.com,Operating,HAX,New York City,United States,"Tessellate 2D manufactures the highest quality two-dimensional semiconductors for next generation transistors. As the demands of computation outpaces the fundamental physical limits of silicon, transition metal dichalcogenides (TMDs) have emerged as the premier 2D semiconductor to further shrink transistors and improve device performance. We deterministically disassemble high-quality bulk TMD crystals into their component monolayers supplying the semiconductor industry with the materials they need to push transistors to the atomic limit.",HAX250710,"Tessellate2d is based in New York City, United States. Description: Tessellate 2D manufactures the highest quality two-dimensional semiconductors for next generation transistors. As the demands of computation outpaces the fundamental physical limits of silicon, transition metal dichalcogenides (TMDs) have emerged as the premier 2D semiconductor to further shrink transistors and improve device performance. We deterministically disassemble high-quality bulk TMD crystals into their component monolayers supplying the semiconductor industry with the materials they need to push transistors to the atomic limit."
Terra Fusion Energy,tf.energy,Operating,HAX,College Park,United States,"Bringing fusion energy to the grid, at a cost 10x cheaper than the competition",HAX250609,"Terra Fusion Energy is based in College Park, United States. Description: Bringing fusion energy to the grid, at a cost 10x cheaper than the competition"
Navlive,navlive.ai,Operating,HAX,Oxford,United Kingdom,"AEC industry is lagging in tech incorporation to do things faster, cheaper and with less wastage. From
initial site visits to becoming ultimate record of truth, we want to partner with AEC players in their
building journey and give them a differentiation advantage with their 3D spatial data.",HAX250305,"Navlive is based in Oxford, United Kingdom. Description: AEC industry is lagging in tech incorporation to do things faster, cheaper and with less wastage. From
initial site visits to becoming ultimate record of truth, we want to partner with AEC players in their
building journey and give them a differentiation advantage with their 3D spatial data."
ReefStarter,reefstarter.net,Operating,IndieBio,Orlando,United States,We design coastal protection barriers that mimic the benefits of natural reef ecosystems.,IBSF25H210,"ReefStarter is based in Orlando, United States. Description: We design coastal protection barriers that mimic the benefits of natural reef ecosystems."
California Perovskite Technology,cpti.co,Operating,IndieBio,San Francisco,United States,"CPTI commercializes roll‑to‑roll‑printed perovskite cell stacks that deliver robust efficiency on glass or flexible substrates while harvesting energy from low‑intensity ambient lighting. Our ultra‑light, single‑junction architecture drives module costs below $0.05/W and opens new markets - IoT, smart buildings, wearables - where conventional silicon fails, all within a cradle‑to‑cradle circular design.",IBSF25H208,"California Perovskite Technology is based in San Francisco, United States. Description: CPTI commercializes roll‑to‑roll‑printed perovskite cell stacks that deliver robust efficiency on glass or flexible substrates while harvesting energy from low‑intensity ambient lighting. Our ultra‑light, single‑junction architecture drives module costs below $0.05/W and opens new markets - IoT, smart buildings, wearables - where conventional silicon fails, all within a cradle‑to‑cradle circular design."
FloUV,flouv.us,Operating,IndieBio,San Francisco,United States,"At Flouv, we are transforming the future of food and beverage safety with a breakthrough non-thermal UV-C disinfection technology. Our proprietary reactor systems deliver precise microbial inactivation in opaque and heat-sensitive liquids—preserving nutrients, flavor, and sensory quality while reducing energy use and operational costs.
Built on years of academic research and extended through industrial innovation, Flouv’s platform combines computational fluid dynamics, biodosimetry, and in-line validation frameworks to create scalable, regulatory-compliant solutions for food, beverage, and pharmaceutical applications. From dairy and plant-based drinks to juices and sterile liquids, our technology replaces the limitations of traditional thermal and other non-thermal methods with a sustainable, cost-effective, and globally adoptable alternative.
We are committed to delivering a global solution for sustainable food preservation—ensuring safety, protecting nutritive quality, and enabling processors worldwide to adopt next-generation disinfection without compromise.",IBSF25H212,"FloUV is based in San Francisco, United States. Description: At Flouv, we are transforming the future of food and beverage safety with a breakthrough non-thermal UV-C disinfection technology. Our proprietary reactor systems deliver precise microbial inactivation in opaque and heat-sensitive liquids—preserving nutrients, flavor, and sensory quality while reducing energy use and operational costs.
Built on years of academic research and extended through industrial innovation, Flouv’s platform combines computational fluid dynamics, biodosimetry, and in-line validation frameworks to create scalable, regulatory-compliant solutions for food, beverage, and pharmaceutical applications. From dairy and plant-based drinks to juices and sterile liquids, our technology replaces the limitations of traditional thermal and other non-thermal methods with a sustainable, cost-effective, and globally adoptable alternative.
We are committed to delivering a global solution for sustainable food preservation—ensuring safety, protecting nutritive quality, and enabling processors worldwide to adopt next-generation disinfection without compromise."
Metabolize,metabolize.life,Operating,IndieBio,Dover,United States,"Metabolize is pioneering a new category:
Precision Metabolites. Targeted nutrients that tell your body when it’s full—
Supporting healthy body composition on their own or alongside GLP-1s
Formulated into everything from supplements to food",IBSF25H207,"Metabolize is based in Dover, United States. Description: Metabolize is pioneering a new category:
Precision Metabolites. Targeted nutrients that tell your body when it’s full—
Supporting healthy body composition on their own or alongside GLP-1s
Formulated into everything from supplements to food"
Post Translational Medicines,ptmedicines.com,Operating,IndieBio,San Francisco,United States,"Post Translational Medicines (PTM) is unlocking the dark proteome by mapping and targeting proteoforms—the diverse, functional states of proteins shaped by post-translational modifications and conformational changes. Powered by its proprietary Surveyor™ platform, PTM integrates next-generation proteomics and AI to systematically reveal hidden disease mechanisms and develop first-in-class therapies for cancer and age-related diseases.",IBSF25H206,"Post Translational Medicines is based in San Francisco, United States. Description: Post Translational Medicines (PTM) is unlocking the dark proteome by mapping and targeting proteoforms—the diverse, functional states of proteins shaped by post-translational modifications and conformational changes. Powered by its proprietary Surveyor™ platform, PTM integrates next-generation proteomics and AI to systematically reveal hidden disease mechanisms and develop first-in-class therapies for cancer and age-related diseases."
Gilly Bio,gillybio.com,Operating,IndieBio,San Francisco,United States,Developing low-cost biomass fermentation technology to convert agwaste feedstocks into high-protein ingredients.,IBSF25H209,"Gilly Bio is based in San Francisco, United States. Description: Developing low-cost biomass fermentation technology to convert agwaste feedstocks into high-protein ingredients."
Hyivy Health Inc.,hyivy.com,Operating,HAX; IndieBio,Kitchener,Canada,"Hyivy Health is a Canadian medical device company that has created the first remote monitoring, therapeutic and diagnostic system for the 1.6B people living with chronic pelvic pain. Our system is the first to introduce quantifiable and objective measurements in this area of medicine, giving patients a voice to their pain and doctors the ability to diagnose and response with accurate therapy.",IBSF25H213,"Hyivy Health Inc. is based in Kitchener, Canada. Description: Hyivy Health is a Canadian medical device company that has created the first remote monitoring, therapeutic and diagnostic system for the 1.6B people living with chronic pelvic pain. Our system is the first to introduce quantifiable and objective measurements in this area of medicine, giving patients a voice to their pain and doctors the ability to diagnose and response with accurate therapy."
Augment Biologics,augmentbiologics.com,Operating,IndieBio,San Francisco,United States,"Augment Biologics, a platform-enabled therapeutics company, is unlocking new possibilities in drug surface design using our landmark discovery in glycoengineering, which we call GlycoTemplating. Led by technological founders and experienced entrepreneurs, we are creating a new class of GlycoTemplated biologics.

The problem is that glycans matter, but glycoengineering is hard. By genetically encoding the desired glycosylation, we turn the challenge and risk of glycoengineering into a design opportunity.

Starting with the $16B IVIG market, we are poised to tame the most capricious Critical Quality Attribute in biologics, transform drug development risk, and fundamentally Augment Biologics.",IBSF25H211,"Augment Biologics is based in San Francisco, United States. Description: Augment Biologics, a platform-enabled therapeutics company, is unlocking new possibilities in drug surface design using our landmark discovery in glycoengineering, which we call GlycoTemplating. Led by technological founders and experienced entrepreneurs, we are creating a new class of GlycoTemplated biologics.

The problem is that glycans matter, but glycoengineering is hard. By genetically encoding the desired glycosylation, we turn the challenge and risk of glycoengineering into a design opportunity.

Starting with the $16B IVIG market, we are poised to tame the most capricious Critical Quality Attribute in biologics, transform drug development risk, and fundamentally Augment Biologics."
Syntaxa Bio,,Operating,IndieBio,San Francisco,United States,,IBSF172401,"Syntaxa Bio is based in San Francisco, United States. Description: "
LogosAI,cqfd.ai,Operating,IndieBio,London,United Kingdom,"Evariste discovers novel synthetic lethal oncology targets and designs small molecule therapeutics using its AI-enabled platform, Frobenius.",IBSF25H205,"LogosAI is based in London, United Kingdom. Description: Evariste discovers novel synthetic lethal oncology targets and designs small molecule therapeutics using its AI-enabled platform, Frobenius."
SuperCool Clouds,supercoollabs.co,Operating,IndieBio,San Francisco,United States,"Supercool is pioneering a new class of biological tools to engineer precipitation. By harnessing naturally occurring ice-nucleating proteins, we enable control over atmospheric water.  Our mission is to reprogram atmospheric systems with biology to meet both human and ecological needs.",IBSF25H204,"SuperCool Clouds is based in San Francisco, United States. Description: Supercool is pioneering a new class of biological tools to engineer precipitation. By harnessing naturally occurring ice-nucleating proteins, we enable control over atmospheric water.  Our mission is to reprogram atmospheric systems with biology to meet both human and ecological needs."
YPlasma,yplasma.tech,Operating,HAX,Newark,United States,"YPlasma, a spin-off from INTA, develops advanced plasma actuators for precise ionic flow control, with applications spanning deicing, cooling, disinfection, aerodynamics, electro-stimulation, and beyond, impacting sectors like Energy, Automotive, Aerospace, Electronics, Agriculture, and Health.",HAX241203,"YPlasma is based in Newark, United States. Description: YPlasma, a spin-off from INTA, develops advanced plasma actuators for precise ionic flow control, with applications spanning deicing, cooling, disinfection, aerodynamics, electro-stimulation, and beyond, impacting sectors like Energy, Automotive, Aerospace, Electronics, Agriculture, and Health."
Nascent Materials,nascentmaterials.com,Operating,HAX,Newark,United States,"The U.S. lithium-ion battery industry is at a critical inflection point. More than 90% of cathode materials are produced in Asia—creating a massive cost and security gap in U.S. battery production.
Nascent's mission is to close that gap. We develop and scale advanced manufacturing technologies that:
•Reduce dependence on imports
•Lower production costs
•Accelerate the commercialization of next-generation cathode chemistries
•Domestic manufacturing to support US energy storage value chains​
We are not just building materials—we are building independence.",HAX250302,"Nascent Materials is based in Newark, United States. Description: The U.S. lithium-ion battery industry is at a critical inflection point. More than 90% of cathode materials are produced in Asia—creating a massive cost and security gap in U.S. battery production.
Nascent's mission is to close that gap. We develop and scale advanced manufacturing technologies that:
•Reduce dependence on imports
•Lower production costs
•Accelerate the commercialization of next-generation cathode chemistries
•Domestic manufacturing to support US energy storage value chains​
We are not just building materials—we are building independence."
Lambda agri (trading name of Lambda Energy Ltd),lambda.energy,Operating,IndieBio,Cambridge,United Kingdom,Lambda increases greenhouse crop yields by c. 10% (target: 20%) by converting the sunlight that plants don't use to light they do use for photosynthesis.,IBSF172503,"Lambda agri (trading name of Lambda Energy Ltd) is based in Cambridge, United Kingdom. Description: Lambda increases greenhouse crop yields by c. 10% (target: 20%) by converting the sunlight that plants don't use to light they do use for photosynthesis."
Inixi Bio,inixi.bio,Operating,IndieBio,San Francisco,United States,Inixi Bio is building tumor initiation inhibitors for patients with high cancer risk—like statins for cancer,IBSF172502,"Inixi Bio is based in San Francisco, United States. Description: Inixi Bio is building tumor initiation inhibitors for patients with high cancer risk—like statins for cancer"
5H45,5h45.co,Operating,IndieBio,Paris,France,"A functionalized patented biomimetic silk nanofilm to make hair styles impervious to humidity, long-lasting, & non-toxic.",IBNY102503,"5H45 is based in Paris, France. Description: A functionalized patented biomimetic silk nanofilm to make hair styles impervious to humidity, long-lasting, & non-toxic."
Hoofprint Biome,hoofprintbiome.com,Operating,IBMF,Raleigh,United States,"Hoofprint Biome represents a new paradigm in solving methane emissions from cattle.

The vast majority of solutions to solve methane emissions from cattle deploy chemicals. Even the seaweed asparagopsis makes the chemical bromoform from bromine and chlorine in seawater, and its suppression of methane is via bromoform. Recently, the market has shown great concern and pushback on using chemicals, especially in the dairy industry.

Hoofprint instead looks inside the cow rumen itself, where it discovers natural enzymes that control methanogens.

In this market, farmers can’t pay much for methane reduction, but they will pay for improved “performance,” meaning solutions that increase milk or beef volume. In other words, it’s not enough just to suppress the methanogens – the real winners will be able to improve microbiome efficiency and ultimately steer the rumen to increase the output of volatile fatty acids that are absorbed by the cow.",OPP25001,"Hoofprint Biome is based in Raleigh, United States. Description: Hoofprint Biome represents a new paradigm in solving methane emissions from cattle.

The vast majority of solutions to solve methane emissions from cattle deploy chemicals. Even the seaweed asparagopsis makes the chemical bromoform from bromine and chlorine in seawater, and its suppression of methane is via bromoform. Recently, the market has shown great concern and pushback on using chemicals, especially in the dairy industry.

Hoofprint instead looks inside the cow rumen itself, where it discovers natural enzymes that control methanogens.

In this market, farmers can’t pay much for methane reduction, but they will pay for improved “performance,” meaning solutions that increase milk or beef volume. In other words, it’s not enough just to suppress the methanogens – the real winners will be able to improve microbiome efficiency and ultimately steer the rumen to increase the output of volatile fatty acids that are absorbed by the cow."
Forage Evolution,forageevo.com,Operating,IndieBio,Ithaca,United States,"Forage Evolution is developing a radical new approach to molecular biology, accelerating workflows by >1000 fold.",IBNY102502,"Forage Evolution is based in Ithaca, United States. Description: Forage Evolution is developing a radical new approach to molecular biology, accelerating workflows by >1000 fold."
Materia Bioworks,materiabioworks.com,Operating,IndieBio,Toronto,Canada,"Materia Bioworks is accelerating the transition from petroleum plastics to sustainable materials. We are building a powerful materials informatics engine with a two-sided marketplace that enables consumer brands and manufacturers to design and launch eco-friendly products up to 65% faster and 90% cheaper. With single-use plastics bans and EPR laws tightening, brands are under pressure to switch to sustainable materials, but the transition remains complex, costly, and slow. Materia streamlines the entire process, helping the $1T+ CPG, cosmetics, pharmaceutical, and textiles industries adopt next-gen biomaterials faster than ever before. 
Why us: Our founding team built a Series A bioplastics company and co-developed 4 biodegradable products with Fortune 500 brands – experiencing the industry's pain points firsthand.",IBNY102501,"Materia Bioworks is based in Toronto, Canada. Description: Materia Bioworks is accelerating the transition from petroleum plastics to sustainable materials. We are building a powerful materials informatics engine with a two-sided marketplace that enables consumer brands and manufacturers to design and launch eco-friendly products up to 65% faster and 90% cheaper. With single-use plastics bans and EPR laws tightening, brands are under pressure to switch to sustainable materials, but the transition remains complex, costly, and slow. Materia streamlines the entire process, helping the $1T+ CPG, cosmetics, pharmaceutical, and textiles industries adopt next-gen biomaterials faster than ever before. 
Why us: Our founding team built a Series A bioplastics company and co-developed 4 biodegradable products with Fortune 500 brands – experiencing the industry's pain points firsthand."
Kaio Labs,kaiolabs.com,Operating,HAX,,,"Kaio Labs develops carbon dioxide (CO2) conversion technologies that enable point-source conversion of waste emissions into value-added chemicals.  Through integrated system-level optimization we develop electrolyzers with high selectivity and energy efficiency to convert CO2 into products like carbon monoxide, formic acid, and ethylene at cost-competitive prices.

Using an AI-driven workflow which combines automated experimentation and probabilistic machine learning, our electrolyzer systems are co-optimized across catalysts, device architecture, and operational parameters to achieve industrial-scale performance requirements at the highest performance from day one.",HAXEF112401,"Kaio Labs is based in , . Description: Kaio Labs develops carbon dioxide (CO2) conversion technologies that enable point-source conversion of waste emissions into value-added chemicals.  Through integrated system-level optimization we develop electrolyzers with high selectivity and energy efficiency to convert CO2 into products like carbon monoxide, formic acid, and ethylene at cost-competitive prices.

Using an AI-driven workflow which combines automated experimentation and probabilistic machine learning, our electrolyzer systems are co-optimized across catalysts, device architecture, and operational parameters to achieve industrial-scale performance requirements at the highest performance from day one."
Blaze Energy,blazeenergytech.com,Operating,HAX,,,"Blaze Energy transforms existing engines to run on zero- or low-carbon fuels like ammonia, with minimal retrofitting. Our mission is to accelerate the adoption of alternative fuels and offer a low-risk, cost-effective path to decarbonization.",HAX241101,"Blaze Energy is based in , . Description: Blaze Energy transforms existing engines to run on zero- or low-carbon fuels like ammonia, with minimal retrofitting. Our mission is to accelerate the adoption of alternative fuels and offer a low-risk, cost-effective path to decarbonization."
Sharper Sense,sharpersense.com,Operating,HAX,New York City,United States,"For high performers, a single misperception can cause serious injury and cost millions of dollars. Sharper Sense single-use neurostimulation patches enhance cognition and senses while worn, providing clarity when it counts. First launching to partners in the U.S. Air Force and Army and select elite athletic teams.",HAX241102,"Sharper Sense is based in New York City, United States. Description: For high performers, a single misperception can cause serious injury and cost millions of dollars. Sharper Sense single-use neurostimulation patches enhance cognition and senses while worn, providing clarity when it counts. First launching to partners in the U.S. Air Force and Army and select elite athletic teams."
Danu Robotics,danurobotics.com,Operating,HAX,Edinburgh,United Kingdom,"Danu Robotics offers an AI-guided multi-picker robotic sorting system to fully automate waste sorting processes, increasing efficiency and revenue for recycling facilities.",HAX241003,"Danu Robotics is based in Edinburgh, United Kingdom. Description: Danu Robotics offers an AI-guided multi-picker robotic sorting system to fully automate waste sorting processes, increasing efficiency and revenue for recycling facilities."
Cephia,cephia.ai,Operating,HAX,New York City,United States,"We are Cephia AI, co-founded by world-class researchers in computational imaging and AI. Our research has been highlighted by Optics & Photonics News as breakthroughs in optics and featured in international media, such as BBC, NSF Discovery, and IEEE Future Directions. We are currently designing the next generation of cameras for multimodal AI vision. We believe that the hardware and software that we are developing could enable a new suite of computer vision and AI applications for smartphones, AR/VR devices, and robotics.",HAX241002,"Cephia is based in New York City, United States. Description: We are Cephia AI, co-founded by world-class researchers in computational imaging and AI. Our research has been highlighted by Optics & Photonics News as breakthroughs in optics and featured in international media, such as BBC, NSF Discovery, and IEEE Future Directions. We are currently designing the next generation of cameras for multimodal AI vision. We believe that the hardware and software that we are developing could enable a new suite of computer vision and AI applications for smartphones, AR/VR devices, and robotics."
Quorum Earth,quorumearth.com,Operating,IndieBio,New York City,United States,Using the power of the fungal kingdom to develop non-toxic biopesticides to save the bees.,IBNY092410,"Quorum Earth is based in New York City, United States. Description: Using the power of the fungal kingdom to develop non-toxic biopesticides to save the bees."
NanoPlume,nanoplume.com,Operating,IndieBio,London,United Kingdom,"Manufacturing the next generation of ultra-insulating, affordable, bio-based aerogels to maximize energy efficiency across multiple industries.",IBNY092409,"NanoPlume is based in London, United Kingdom. Description: Manufacturing the next generation of ultra-insulating, affordable, bio-based aerogels to maximize energy efficiency across multiple industries."
Bactery,bactery.co.uk,Operating,IndieBio,Bath,United Kingdom,Capturing green energy generated by bacteria found in soil for remote sensors and IoT devices.,IBNY092408,"Bactery is based in Bath, United Kingdom. Description: Capturing green energy generated by bacteria found in soil for remote sensors and IoT devices."
Giraffe Bio,giraffe-bio.com,Operating,IndieBio,Buenos Aires,Argentina,Data-driven biomolecular design to boost the efficiency and sustainability of mining for critical minerals.,IBNY092407,"Giraffe Bio is based in Buenos Aires, Argentina. Description: Data-driven biomolecular design to boost the efficiency and sustainability of mining for critical minerals."
Mothership Materials,mothershipmaterials.com,Operating,IndieBio,New York City,United States,"Capturing new ingredients by molecularly upcycling agricultural waste, paving the way for a sustainable, circular, and traceable bioeconomy.",IBNY092406,"Mothership Materials is based in New York City, United States. Description: Capturing new ingredients by molecularly upcycling agricultural waste, paving the way for a sustainable, circular, and traceable bioeconomy."
Ceal,ceal.earth,Operating,IndieBio,Haifa,Israel,"Ceal, a carbon dioxide removal (CDR) company, is paving the way for a Net-Zero environment using the most energy-efficient technology ready to scale.
Using its proprietary technology, Ceal’s innovative process utilizes the existing infrastructure of industrial facilities to provide the cheapest gigaton-scale CDR operation. The process is additive- and emission-free, and non-reliant upon the carbon market.
In a highly efficient single-step, Ceal captures and sequesters atmospheric CO2 dissolved in seawater into industry-essential minerals, while providing soft water for various uses. Thus, enabling major cost savings and substantial new revenues for its customers. Ceal's solution reduces the carbon footprint of the industrial facility, its marine pollution of hazardous chemicals, and simplifies its operation.
Ceal - more than just carbon dioxide removal. We heal the world.",IBSF162409,"Ceal is based in Haifa, Israel. Description: Ceal, a carbon dioxide removal (CDR) company, is paving the way for a Net-Zero environment using the most energy-efficient technology ready to scale.
Using its proprietary technology, Ceal’s innovative process utilizes the existing infrastructure of industrial facilities to provide the cheapest gigaton-scale CDR operation. The process is additive- and emission-free, and non-reliant upon the carbon market.
In a highly efficient single-step, Ceal captures and sequesters atmospheric CO2 dissolved in seawater into industry-essential minerals, while providing soft water for various uses. Thus, enabling major cost savings and substantial new revenues for its customers. Ceal's solution reduces the carbon footprint of the industrial facility, its marine pollution of hazardous chemicals, and simplifies its operation.
Ceal - more than just carbon dioxide removal. We heal the world."
Metabolicpsychiatrylabs,metabolicpsychiatrylabs.com,Operating,IndieBio,Menlo Park,United States,"Treating serious mental illness and metabolic sickness through food, real-time data and a remote clinical care team.",IBSF162406,"Metabolicpsychiatrylabs is based in Menlo Park, United States. Description: Treating serious mental illness and metabolic sickness through food, real-time data and a remote clinical care team."
